id,sex,cage,time.of.day,n.correct.training,n.incorrect.training,session.reward.colour,n.morning.colour.test,n.afternoon.colour.test,final.presentation,n.correct.training.last.2,n.incorrect.training.last.2,prop.correct.training.last.2,n.morning.colour.initial,n.afternoon.colour.initial,species,criterion,n.morning.colour.training,n.afternoon.colour.training,prop.morning.reward.colour,shift.in.prop.morning.colour,abs.shift.in.prop.morning.colour,colour.training.scheme
1,F,1B,1morning,16,22,purple,17,30,reversed,5,9,0.357142857,0,3,hecale,failed,16,22,0.421052632,0.363909774,0.363909774,purple.morning.yellow.afternoon
2,M,1B,1morning,1,66,purple,3,32,reversed,0,14,0,24,22,hecale,failed,1,66,0.014925373,-0.069980287,0.069980287,purple.morning.yellow.afternoon
3,F,1B,1morning,88,6,purple,96,1,reversed,21,0,1,24,5,hecale,NA,88,6,0.936170213,-0.063829787,0.063829787,purple.morning.yellow.afternoon
4,M,1B,1morning,4,17,purple,8,45,reversed,1,3,0.25,51,1,hecale,failed,4,17,0.19047619,0.084093212,0.084093212,purple.morning.yellow.afternoon
5,M,1B,1morning,25,65,purple,53,116,reversed,15,29,0.340909091,1,21,hecale,failed,25,65,0.277777778,0.235672515,0.235672515,purple.morning.yellow.afternoon
6,M,1B,1morning,20,14,purple,18,27,reversed,14,9,0.608695652,38,2,hecale,passed,20,14,0.588235294,0.457282913,0.457282913,purple.morning.yellow.afternoon
7,F,1B,1morning,69,32,purple,62,7,reversed,22,5,0.814814815,20,5,hecale,passed,69,32,0.683168317,0.256697729,0.256697729,purple.morning.yellow.afternoon
8,F,1B,1morning,42,8,purple,36,19,reversed,15,2,0.882352941,25,21,hecale,failed,42,8,0.84,0.013913043,0.013913043,purple.morning.yellow.afternoon
11,M,1B,1morning,0,83,purple,33,136,reversed,0,31,0,46,6,hecale,NA,0,83,0,-0.329113924,0.329113924,purple.morning.yellow.afternoon
12,F,1B,1morning,81,59,purple,47,90,reversed,25,16,0.609756098,15,5,hecale,failed,81,59,0.578571429,-0.067893218,0.067893218,purple.morning.yellow.afternoon
27,M,1B,1morning,32,28,purple,36,36,reversed,13,6,0.684210526,59,11,hecale,passed,32,28,0.533333333,0.131271478,0.131271478,purple.morning.yellow.afternoon
28,F,1B,1morning,106,47,purple,100,15,reversed,34,12,0.739130435,0,0,hecale,NA,106,47,0.692810458,-0.307189542,0.307189542,purple.morning.yellow.afternoon
D1,M,4A,1morning,26,92,purple,25,99,normal,3,7,0.3,16,11,dryas,failed,26,92,0.220338983,0.118644068,0.118644068,purple.morning.yellow.afternoon
D10,M,4A,1morning,33,18,purple,70,70,normal,6,7,0.461538462,48,6,dryas,failed,33,18,0.647058824,0.123694338,0.123694338,purple.morning.yellow.afternoon
D11,M,4A,1morning,19,29,purple,35,119,normal,5,13,0.277777778,0,0,dryas,NA,19,29,0.395833333,0.229166667,0.229166667,purple.morning.yellow.afternoon
D13,M,5A,1morning,24,1,yellow,54,2,reversed,13,0,1,3,1,dryas,failed,24,1,0.96,0.000816327,0.000816327,yellow.morning.purple.afternoon
D14,F,5A,1morning,29,6,yellow,11,2,reversed,19,1,0.95,1,1,dryas,passed,29,6,0.828571429,0.550793651,0.550793651,yellow.morning.purple.afternoon
D15,M,5A,1morning,26,2,yellow,22,9,reversed,7,0,1,1,0,dryas,passed,26,2,0.928571429,0.211180124,0.211180124,yellow.morning.purple.afternoon
D16,M,5A,1morning,21,6,yellow,31,10,reversed,14,3,0.823529412,9,105,dryas,passed,21,6,0.777777778,0.477777778,0.477777778,yellow.morning.purple.afternoon
